index,latency,jitter,recv-time,recv-size
1,0.000409,0.000409,1648493055416333152,55
2,0.001247,0.000838,1648493055416720688,55
3,0.001107,0.00014000000000000015,1648493055417367022,55
4,0.000783,0.00032399999999999996,1648493055417691926,55
5,0.000467,0.00031599999999999993,1648493055418009226,55
6,0.000211,0.00025600000000000004,1648493055418707522,55
7,0.000217,5.999999999999983e-06,1648493055419614708,55
8,0.000207,9.999999999999999e-06,1648493055420629417,55
9,0.000204,2.9999999999999916e-06,1648493055421692178,55
10,0.000247,4.299999999999999e-05,1648493055423009181,55
11,0.000205,4.199999999999999e-05,1648493055423836477,55
12,0.000196,9.000000000000002e-06,1648493055424816606,55
13,0.000189,6.99999999999998e-06,1648493055425823743,55
14,0.000193,3.999999999999989e-06,1648493055426911928,55
15,0.000187,6.00000000000001e-06,1648493055427974604,55
16,0.000176,1.0999999999999996e-05,1648493055429036081,55
17,0.000173,2.9999999999999916e-06,1648493055430106905,55
18,0.000174,9.999999999999972e-07,1648493055431177507,55
19,0.00017,3.999999999999989e-06,1648493055432230479,55
20,0.000171,9.999999999999972e-07,1648493055433279447,55
21,0.000173,1.9999999999999944e-06,1648493055434334770,55
22,0.000189,1.600000000000001e-05,1648493055435470185,55
23,0.000182,7.0000000000000075e-06,1648493055436510926,55
24,0.000178,4.000000000000016e-06,1648493055437548788,55
25,0.000177,9.999999999999972e-07,1648493055438628332,55
26,0.000185,8.000000000000005e-06,1648493055439664008,55
27,0.000188,2.9999999999999916e-06,1648493055440722981,55
28,0.000179,9.000000000000002e-06,1648493055441736732,55
29,0.000181,2.0000000000000215e-06,1648493055442820118,55
30,0.000193,1.1999999999999994e-05,1648493055443959477,55
31,0.000187,6.00000000000001e-06,1648493055444911474,55
32,0.000177,9.999999999999999e-06,1648493055445923141,55
33,0.000189,1.200000000000002e-05,1648493055447011610,55
34,0.000177,1.200000000000002e-05,1648493055448009003,55
35,0.000175,1.9999999999999944e-06,1648493055449044635,55
36,0.000181,6.00000000000001e-06,1648493055450099899,55
37,0.000182,9.999999999999972e-07,1648493055451116552,55
38,0.000174,8.000000000000005e-06,1648493055452153398,55
39,0.000176,1.9999999999999944e-06,1648493055453209415,55
40,0.000175,9.999999999999972e-07,1648493055454285752,55
41,0.000174,9.999999999999972e-07,1648493055455291307,55
42,0.000187,1.299999999999999e-05,1648493055456423624,55
43,0.000185,1.9999999999999944e-06,1648493055457448277,55
44,0.000199,1.4000000000000015e-05,1648493055458540489,55
45,0.000187,1.200000000000002e-05,1648493055459528866,55
46,0.000184,2.9999999999999916e-06,1648493055460548116,55
47,0.000183,9.999999999999972e-07,1648493055461588375,55
48,0.000174,9.000000000000002e-06,1648493055462687539,55
49,0.000187,1.299999999999999e-05,1648493055463704304,55
50,0.000187,0.0,1648493055464746291,55
51,0.000185,1.9999999999999944e-06,1648493055465779227,55
52,0.000188,2.9999999999999916e-06,1648493055466829409,55
53,0.000185,2.9999999999999916e-06,1648493055467862422,55
54,0.000184,9.999999999999972e-07,1648493055468904632,55
55,0.000184,0.0,1648493055469942988,55
56,0.000188,3.999999999999989e-06,1648493055470994314,55
57,0.00021,2.200000000000002e-05,1648493055472113461,55
58,0.000214,3.999999999999989e-06,1648493055473201597,55
59,0.000192,2.1999999999999993e-05,1648493055474247607,55
60,0.000265,7.299999999999999e-05,1648493055475455795,55
61,0.000258,7.0000000000000075e-06,1648493055476450892,55
62,0.000256,1.9999999999999944e-06,1648493055477500536,55
63,0.000275,1.9000000000000028e-05,1648493055478567341,55
64,0.000196,7.900000000000002e-05,1648493055479459233,55
65,0.000206,9.999999999999999e-06,1648493055480528494,55
66,0.000194,1.1999999999999994e-05,1648493055481537058,55
67,0.000287,9.299999999999998e-05,1648493055482857051,55
68,0.000236,5.099999999999999e-05,1648493055483833018,55
69,0.00021,2.599999999999998e-05,1648493055484818002,55
